dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Forming Government,after_forming_government,0,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ,1,0.5125443380680763
After Forming Government,after_forming_government,1,"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা আশা করি আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন আপনাদের সৎ নেতৃত্ব দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে এই প্রত্যাশাই রইল,1,0.8229557496337205
After Forming Government,after_forming_government,2,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত -এনসিপি।,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত এনসিপি,1,0.8976034679934628
After Forming Government,after_forming_government,3,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো।,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো,1,0.8853512142651793
After Forming Government,after_forming_government,4,আলহামদুলিল্লাহ l,আলহামদুলিল্লাহ l,0,0.5999984356205927
After Forming Government,after_forming_government,5,শুভকামনা রইল l,শুভকামনা রইল l,1,0.7324872459520796
After Forming Government,after_forming_government,6,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,3,0.5934115985315729
After Forming Government,after_forming_government,7,সরকার গঠন করে,সরকার গঠন করে,0,0.7322050576275837
After Forming Government,after_forming_government,8,তারেক রহমানের,তারেক রহমানের,1,0.731902621332773
After Forming Government,after_forming_government,9,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ।,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ,1,0.7039043723677811
After Forming Government,after_forming_government,10,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ,0,0.5999984356205927
After Forming Government,after_forming_government,11,ব্রেকিং,ব্রেকিং,0,0.2
After Forming Government,after_forming_government,12,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না ।,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না,0,0.899349989052907
After Forming Government,after_forming_government,13,- সালাউদ্দিন আহমেদ,সালাউদ্দিন আহমেদ,2,0.7288440295303112
After Forming Government,after_forming_government,14,বাংলাদেশ আবার পথ হারালো হয়তো ।,বাংলাদেশ আবার পথ হারালো হয়তো,1,0.8387795015542195
After Forming Government,after_forming_government,15,"ক্রাস খায়েননা,যে ভাবে থাকি আছে আমাদের লিডার।",ক্রাস খায়েননা যে ভাবে থাকি আছে আমাদের লিডার,3,0.7980435422885168
