dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,0,"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে দেশের আদালত মুক্ত করে দিবে এটাই পলিটিক্স,1,0.6901581342441806
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,1,"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",এভাবেই ফেরত আসবে এটাই পলিটিক্স,2,0.836545856236754
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,2,দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র,4,0.8397484030136001
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,3,এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,4,0.7997119515840702
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,4,"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না যারা পালিয়ে গেছে তাদের,3,0.5718822748482916
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,5,বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন,1,0.8629763168305701
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,6,ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,0,0.6903792743946093
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,7,বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,বিএনপির কাছে ভালো হওয়া আরকি তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ,4,0.5336658038891218
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,8,আরও কিছু দেখার অপেক্ষায় রইলাম,আরও কিছু দেখার অপেক্ষায় রইলাম,4,0.7331627393690836
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,9,ধন্যবাদ জানাই,ধন্যবাদ জানাই,3,0.7330538011788406
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,10,খাইছে রে..,খাইছে রে,4,0.5999805616142438
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,11,এটা ভালো,এটা ভালো,1,0.5992668001185075
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,12,সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,2,0.8848431478489062
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,13,এগুলোকে এখন গ্রেফতার করবে আর আস্তে আস্তে সবগুলোকে বাংলাদেশ প্রেরণ করবে,এগুলোকে এখন গ্রেফতার করবে আর আস্তে আস্তে সবগুলোকে বাংলাদেশ প্রেরণ করবে,0,0.8642084639860576
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,14,"""হাসিনার তো ভিসা পাসপোর্ট কিছুই নেই, তবুও এখনো ভারতে আছে কীভাবে?""",হাসিনার তো ভিসা পাসপোর্ট কিছুই নেই তবুও এখনো ভারতে আছে কীভাবে,2,0.7973171943299697
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,15,তাদের আর শান্তি নাই,তাদের আর শান্তি নাই,2,0.3998159636237618
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,16,নিজ দেশেও (ভারত) নিরাপদ নয় আওয়ামীলীগ,নিজ দেশেও ভারত নিরাপদ নয় আওয়ামীলীগ,3,0.6389825621690345
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,17,শুরু হয়েছে একে একে সবাই ধরা পড়বে,শুরু হয়েছে একে একে সবাই ধরা পড়বে,4,0.8659996396913542
Post Election Data Updated With Location 09 March,post_election_data_updated_with_location_09_march,18,কাগজ নেই তাই দরছে এটা নিয়ে এত লেখালেখির কি আছে।,কাগজ নেই তাই দরছে এটা নিয়ে এত লেখালেখির কি আছে,0,0.39974259287899205
