period,location,mentions
12.02.26 —- 17.02.26,Dhaka,527
12.02.26 —- 17.02.26,Chattogram,98
12.02.26 —- 17.02.26,Barishal,46
12.02.26 —- 17.02.26,Sylhet,40
12.02.26 —- 17.02.26,Gazipur,27
12.02.26 —- 17.02.26,Mymensingh,26
12.02.26 —- 17.02.26,Khulna,25
12.02.26 —- 17.02.26,Cumilla,23
18.02.26 —--- 01.03.26,Dhaka,1041
18.02.26 —--- 01.03.26,Chattogram,265
18.02.26 —--- 01.03.26,Khulna,124
18.02.26 —--- 01.03.26,Barishal,120
18.02.26 —--- 01.03.26,Cumilla,79
18.02.26 —--- 01.03.26,Sylhet,78
18.02.26 —--- 01.03.26,Gazipur,72
18.02.26 —--- 01.03.26,Noakhali,57
