dataset,term,count,relative_freq,others_avg_relative_freq,distinctiveness_score
After Forming Government Data With Location,কষ্ট,105,0.01154480483782298,0.0004062447819273447,0.011138560055895636
After Forming Government Data With Location,খাও,63,0.006926882902693787,0.0008583930462343276,0.00606848985645946
After Forming Government Data With Location,হাট,64,0.007036833424958769,0.001171783359624641,0.005865050065334128
After Forming Government Data With Location,খা,61,0.006706981858163826,0.0009401709401709402,0.005766810917992886
After Forming Government Data With Location,ঠিক,81,0.008905992303463442,0.003477878483338986,0.005428113820124456
After Forming Government Data With Location,ভাই,91,0.010005497526113249,0.004645419971229945,0.005360077554883304
After Forming Government Data With Location,ঘাট,57,0.006267179769103903,0.0009971509971509972,0.005270028771952906
After Forming Government Data With Location,খাবে,54,0.005937328202308961,0.0011184954941780571,0.004818832708130903
After Forming Government Data With Location,তুই,40,0.0043980208905992305,0.0011306195725562308,0.0032674013180429996
After Forming Government Data With Location,খেতে,35,0.0038482682792743265,0.0006589628468041283,0.0031893054324701985
After Forming Government Data With Location,বেশি,45,0.004947773501924134,0.001789582419360359,0.003158191082563775
After Forming Government Data With Location,পিছনে,31,0.0034084661902144034,0.000388831328037735,0.0030196348621766684
After Forming Government Data With Location,তোর,34,0.003738317757009346,0.0007344038614515499,0.003003913895557796
After Forming Government Data With Location,খাবেন,26,0.0028587135788895,0.0003988603988603989,0.002459853180029101
After Forming Government Data With Location,দৌড়াবে,22,0.002418911489829577,0.0,0.002418911489829577
After Forming Government Data With Location,সমস্যা,26,0.0028587135788895,0.0005128205128205128,0.002345893066068987
After Forming Government Data With Location,খান,22,0.002418911489829577,0.0002279202279202279,0.002190991261909349
After Forming Government Data With Location,দৌড়াতে,19,0.0020890599230346343,0.0,0.0020890599230346343
After Forming Government Data With Location,তাহলে,42,0.004617921935129192,0.0025413997347015185,0.002076522200427673
After Forming Government Data With Location,ছাত্রদল,19,0.0020890599230346343,5.698005698005698e-05,0.0020320798660545774
After Forming Government Data With Location,খাইতে,22,0.002418911489829577,0.0003988603988603989,0.002020051090969178
After Forming Government Data With Location,যা,24,0.0026388125343595383,0.0006985294498945754,0.001940283084464963
After Forming Government Data With Location,লাগে,23,0.0025288620120945573,0.0006130593644244899,0.0019158026476700674
