dataset,term,count,relative_freq
After Election,ভোট,188,0.01779965915546298
After Election,ইনশাআল্লাহ,150,0.014201855709145995
After Election,বিজয়,63,0.005964779397841318
After Election,দালাল,55,0.005207347093353532
After Election,হয়ে,55,0.005207347093353532
After Election,আল্লাহ,55,0.005207347093353532
After Election,ধানের,54,0.005112668055292559
After Election,খবর,49,0.0046392728649876916
After Election,নাই,49,0.0046392728649876916
After Election,মনে,48,0.0045445938269267185
After Election,বাংলাদেশ,47,0.004449914788865745
After Election,দাদু,46,0.0043552357508047715
After Election,বলে,44,0.004165877674682825
After Election,নতুন,42,0.003976519598560878
After Election,সাদা,42,0.003976519598560878
After Election,কাকু,39,0.0036924824843779587
After Election,প্রথম,37,0.003503124408256012
After Election,করতে,37,0.003503124408256012
After Election,জনগণ,36,0.0034084453701950387
After Election,শেষ,36,0.0034084453701950387
After Election,আজ,33,0.003124408256012119
After Election,নাকি,32,0.0030297292179511455
After Election,ভালো,32,0.0030297292179511455
After Election,দাঁড়িপাল্লা,31,0.0029350501798901724
After Election,শকুন,31,0.0029350501798901724
After Election,কোন,30,0.002840371141829199
After Election,তাহলে,30,0.002840371141829199
After Election,জয়,28,0.0026510130657072524
After Election,মানুষ,28,0.0026510130657072524
After Election,একটু,28,0.0026510130657072524
After Election,দেশের,26,0.002461654989585306
After Election,ঠিক,26,0.002461654989585306
After Election,নির্বাচন,25,0.0023669759515243323
After Election,চেহারা,25,0.0023669759515243323
After Election,যাচ্ছে,24,0.0022722969134633592
After Election,যাবে,24,0.0022722969134633592
After Election,আবার,24,0.0022722969134633592
After Election,মন,23,0.0021776178754023857
After Election,জামাত,23,0.0021776178754023857
After Election,এবার,22,0.0020829388373414127
