dataset,term,count,relative_freq
After Forming Government,শুরু,109,0.006519528679944973
After Forming Government,তাহলে,99,0.005921406782702315
After Forming Government,করতে,95,0.005682158023805252
After Forming Government,মাফিয়া,94,0.005622345834080986
After Forming Government,শপথ,90,0.005383097075183922
After Forming Government,বিএনপি,87,0.005203660506011125
After Forming Government,সংবিধান,82,0.004904599557389796
After Forming Government,জুলাই,78,0.004665350798492732
After Forming Government,ভালো,78,0.004665350798492732
After Forming Government,কাজে,75,0.004485914229319935
After Forming Government,ভোট,69,0.004127041090974341
After Forming Government,হয়ে,64,0.0038279801423530117
After Forming Government,ভাই,63,0.0037681679526287456
After Forming Government,আবার,60,0.0035887313834559484
After Forming Government,প্রধানমন্ত্রী,60,0.0035887313834559484
After Forming Government,কাজ,60,0.0035887313834559484
After Forming Government,বলে,56,0.003349482624558885
After Forming Government,চাই,56,0.003349482624558885
After Forming Government,সংস্কার,55,0.0032896704348346194
After Forming Government,আল্লাহ,55,0.0032896704348346194
After Forming Government,জনগণের,55,0.0032896704348346194
After Forming Government,করেন,54,0.0032298582451103534
After Forming Government,দেশের,52,0.0031102338656618217
After Forming Government,দেশ,52,0.0031102338656618217
After Forming Government,জনগণ,52,0.0031102338656618217
After Forming Government,আলহামদুলিল্লাহ,50,0.00299060948621329
After Forming Government,নাই,50,0.00299060948621329
After Forming Government,বড়,50,0.00299060948621329
After Forming Government,মনে,48,0.002870985106764759
After Forming Government,ইনশাআল্লাহ,48,0.002870985106764759
After Forming Government,নির্বাচন,47,0.002811172917040493
After Forming Government,নয়,47,0.002811172917040493
After Forming Government,যুদ্ধ,45,0.002691548537591961
After Forming Government,বাংলাদেশ,43,0.0025719241581434295
After Forming Government,সরকার,41,0.002452299778694898
After Forming Government,কোন,41,0.002452299778694898
After Forming Government,যাবে,40,0.0023924875889706322
After Forming Government,তারেক,40,0.0023924875889706322
After Forming Government,টাকা,40,0.0023924875889706322
After Forming Government,বিরুদ্ধে,40,0.0023924875889706322
