dataset,term,count,relative_freq
After Forming Government Data With Location,কষ্ট,105,0.01154480483782298
After Forming Government Data With Location,ভাই,91,0.010005497526113249
After Forming Government Data With Location,ঠিক,81,0.008905992303463442
After Forming Government Data With Location,হাট,64,0.007036833424958769
After Forming Government Data With Location,খাও,63,0.006926882902693787
After Forming Government Data With Location,খা,61,0.006706981858163826
After Forming Government Data With Location,ঘাট,57,0.006267179769103903
After Forming Government Data With Location,খাবে,54,0.005937328202308961
After Forming Government Data With Location,নাই,53,0.00582737768004398
After Forming Government Data With Location,বেশি,45,0.004947773501924134
After Forming Government Data With Location,কোন,44,0.004837822979659154
After Forming Government Data With Location,তাহলে,42,0.004617921935129192
After Forming Government Data With Location,তুই,40,0.0043980208905992305
After Forming Government Data With Location,ভালো,38,0.004178119846069269
After Forming Government Data With Location,মনে,37,0.004068169323804288
After Forming Government Data With Location,বলে,36,0.0039582188015393075
After Forming Government Data With Location,খেতে,35,0.0038482682792743265
After Forming Government Data With Location,তোর,34,0.003738317757009346
After Forming Government Data With Location,হয়ে,33,0.003628367234744365
After Forming Government Data With Location,পিছনে,31,0.0034084661902144034
After Forming Government Data With Location,সমঝোতা,31,0.0034084661902144034
After Forming Government Data With Location,নাকি,31,0.0034084661902144034
After Forming Government Data With Location,নেতা,30,0.003298515667949423
After Forming Government Data With Location,সমস্যা,26,0.0028587135788895
After Forming Government Data With Location,খাবেন,26,0.0028587135788895
After Forming Government Data With Location,মানুষ,25,0.002748763056624519
After Forming Government Data With Location,যা,24,0.0026388125343595383
After Forming Government Data With Location,খেয়ে,24,0.0026388125343595383
After Forming Government Data With Location,সে,23,0.0025288620120945573
After Forming Government Data With Location,জুলাই,23,0.0025288620120945573
After Forming Government Data With Location,হোক,23,0.0025288620120945573
After Forming Government Data With Location,তোমাদের,23,0.0025288620120945573
After Forming Government Data With Location,লাগে,23,0.0025288620120945573
After Forming Government Data With Location,টা,23,0.0025288620120945573
After Forming Government Data With Location,দরকার,23,0.0025288620120945573
After Forming Government Data With Location,দৌড়াবে,22,0.002418911489829577
After Forming Government Data With Location,করতে,22,0.002418911489829577
After Forming Government Data With Location,বছর,22,0.002418911489829577
After Forming Government Data With Location,আপনাদের,22,0.002418911489829577
After Forming Government Data With Location,খান,22,0.002418911489829577
