dataset,term,count,relative_freq
Before Election Some,ভোট,105,0.012741172187841281
Before Election Some,ইনশাআল্লাহ,89,0.010799660235408324
Before Election Some,ধানের,84,0.010192937750273025
Before Election Some,বিএনপি,82,0.009950248756218905
Before Election Some,আব্বাস,64,0.007766047809731828
Before Election Some,মানুষ,51,0.006188569348380051
Before Election Some,শীষ,43,0.0052178133721635725
Before Election Some,ভাই,39,0.004732435384055333
Before Election Some,ঢাকা,39,0.004732435384055333
Before Election Some,আওয়ামী,39,0.004732435384055333
Before Election Some,তারেক,39,0.004732435384055333
Before Election Some,নাই,36,0.004368401892974154
Before Election Some,বাংলাদেশ,35,0.004247057395947094
Before Election Some,জনগণ,35,0.004247057395947094
Before Election Some,বলে,35,0.004247057395947094
Before Election Some,চান্দা,35,0.004247057395947094
Before Election Some,মির্জা,33,0.004004368401892974
Before Election Some,আপনারা,31,0.0037616794078388547
Before Election Some,মনে,30,0.0036403349108117948
Before Election Some,চাঁদাবাজ,29,0.003518990413784735
Before Election Some,দল,29,0.003518990413784735
Before Election Some,নিয়ে,26,0.0031549569227035555
Before Election Some,রহমান,26,0.0031549569227035555
Before Election Some,হাদি,26,0.0031549569227035555
Before Election Some,করতে,25,0.0030336124256764956
Before Election Some,জিন্দাবাদ,25,0.0030336124256764956
Before Election Some,খাম্বা,25,0.0030336124256764956
Before Election Some,কোন,24,0.0029122679286494356
Before Election Some,সবাই,24,0.0029122679286494356
Before Election Some,ভালো,23,0.002790923431622376
Before Election Some,চাই,23,0.002790923431622376
Before Election Some,জয়,23,0.002790923431622376
Before Election Some,লীগ,23,0.002790923431622376
Before Election Some,দেশে,22,0.002669578934595316
Before Election Some,রং,21,0.0025482344375682563
Before Election Some,দিবে,20,0.0024268899405411964
Before Election Some,এবার,20,0.0024268899405411964
Before Election Some,নির্বাচন,20,0.0024268899405411964
Before Election Some,জিতবে,20,0.0024268899405411964
Before Election Some,চোর,20,0.0024268899405411964
Post Election Data Updated With Location 09 March,সমঝোতা,164,0.009344729344729345
Post Election Data Updated With Location 09 March,কোন,97,0.005527065527065527
Post Election Data Updated With Location 09 March,রাষ্ট্রপতি,96,0.00547008547008547
Post Election Data Updated With Location 09 March,নাই,88,0.0050142450142450145
Post Election Data Updated With Location 09 March,ঠিক,88,0.0050142450142450145
Post Election Data Updated With Location 09 March,ভালো,86,0.0049002849002849
Post Election Data Updated With Location 09 March,মনে,86,0.0049002849002849
Post Election Data Updated With Location 09 March,হলো,81,0.004615384615384616
Post Election Data Updated With Location 09 March,ভাই,80,0.004558404558404558
Post Election Data Updated With Location 09 March,চাঁদা,76,0.004330484330484331
Post Election Data Updated With Location 09 March,হোক,74,0.004216524216524216
Post Election Data Updated With Location 09 March,মন্ত্রী,74,0.004216524216524216
Post Election Data Updated With Location 09 March,শেষ,72,0.0041025641025641026
Post Election Data Updated With Location 09 March,করতে,71,0.004045584045584046
Post Election Data Updated With Location 09 March,হয়ে,68,0.003874643874643875
Post Election Data Updated With Location 09 March,কাজ,62,0.003532763532763533
Post Election Data Updated With Location 09 March,বলে,60,0.003418803418803419
Post Election Data Updated With Location 09 March,সে,60,0.003418803418803419
Post Election Data Updated With Location 09 March,দেওয়া,58,0.0033048433048433047
Post Election Data Updated With Location 09 March,নতুন,56,0.003190883190883191
Post Election Data Updated With Location 09 March,যাবে,55,0.0031339031339031338
Post Election Data Updated With Location 09 March,দরকার,55,0.0031339031339031338
Post Election Data Updated With Location 09 March,তাহলে,53,0.00301994301994302
Post Election Data Updated With Location 09 March,লাভ,53,0.00301994301994302
Post Election Data Updated With Location 09 March,তেল,51,0.002905982905982906
Post Election Data Updated With Location 09 March,নেতা,50,0.002849002849002849
Post Election Data Updated With Location 09 March,নোটিশ,50,0.002849002849002849
Post Election Data Updated With Location 09 March,আবার,49,0.002792022792022792
Post Election Data Updated With Location 09 March,পারে,49,0.002792022792022792
Post Election Data Updated With Location 09 March,সমঝোতার,49,0.002792022792022792
Post Election Data Updated With Location 09 March,দেশের,48,0.002735042735042735
Post Election Data Updated With Location 09 March,এত,47,0.002678062678062678
Post Election Data Updated With Location 09 March,মানুষ,46,0.002621082621082621
Post Election Data Updated With Location 09 March,নাকি,46,0.002621082621082621
Post Election Data Updated With Location 09 March,জুলাই,43,0.00245014245014245
Post Election Data Updated With Location 09 March,চাই,41,0.0023361823361823363
Post Election Data Updated With Location 09 March,মুক্তিযোদ্ধা,40,0.002279202279202279
Post Election Data Updated With Location 09 March,দেশ,40,0.002279202279202279
Post Election Data Updated With Location 09 March,খেলা,40,0.002279202279202279
Post Election Data Updated With Location 09 March,করার,39,0.0022222222222222222
After Forming Government Data With Location,কষ্ট,105,0.01154480483782298
After Forming Government Data With Location,ভাই,91,0.010005497526113249
After Forming Government Data With Location,ঠিক,81,0.008905992303463442
After Forming Government Data With Location,হাট,64,0.007036833424958769
After Forming Government Data With Location,খাও,63,0.006926882902693787
After Forming Government Data With Location,খা,61,0.006706981858163826
After Forming Government Data With Location,ঘাট,57,0.006267179769103903
After Forming Government Data With Location,খাবে,54,0.005937328202308961
After Forming Government Data With Location,নাই,53,0.00582737768004398
After Forming Government Data With Location,বেশি,45,0.004947773501924134
After Forming Government Data With Location,কোন,44,0.004837822979659154
After Forming Government Data With Location,তাহলে,42,0.004617921935129192
After Forming Government Data With Location,তুই,40,0.0043980208905992305
After Forming Government Data With Location,ভালো,38,0.004178119846069269
After Forming Government Data With Location,মনে,37,0.004068169323804288
After Forming Government Data With Location,বলে,36,0.0039582188015393075
After Forming Government Data With Location,খেতে,35,0.0038482682792743265
