dataset,term,count,relative_freq
Before Election,ভোট,105,0.012741172187841281
Before Election,ইনশাআল্লাহ,89,0.010799660235408324
Before Election,ধানের,84,0.010192937750273025
Before Election,বিএনপি,82,0.009950248756218905
Before Election,আব্বাস,64,0.007766047809731828
Before Election,মানুষ,51,0.006188569348380051
Before Election,শীষ,43,0.0052178133721635725
Before Election,ভাই,39,0.004732435384055333
Before Election,ঢাকা,39,0.004732435384055333
Before Election,আওয়ামী,39,0.004732435384055333
Before Election,তারেক,39,0.004732435384055333
Before Election,নাই,36,0.004368401892974154
Before Election,বাংলাদেশ,35,0.004247057395947094
Before Election,জনগণ,35,0.004247057395947094
Before Election,বলে,35,0.004247057395947094
Before Election,চান্দা,35,0.004247057395947094
Before Election,মির্জা,33,0.004004368401892974
Before Election,আপনারা,31,0.0037616794078388547
Before Election,মনে,30,0.0036403349108117948
Before Election,চাঁদাবাজ,29,0.003518990413784735
Before Election,দল,29,0.003518990413784735
Before Election,নিয়ে,26,0.0031549569227035555
Before Election,রহমান,26,0.0031549569227035555
Before Election,হাদি,26,0.0031549569227035555
Before Election,করতে,25,0.0030336124256764956
Before Election,জিন্দাবাদ,25,0.0030336124256764956
Before Election,খাম্বা,25,0.0030336124256764956
Before Election,কোন,24,0.0029122679286494356
Before Election,সবাই,24,0.0029122679286494356
Before Election,ভালো,23,0.002790923431622376
Before Election,চাই,23,0.002790923431622376
Before Election,জয়,23,0.002790923431622376
Before Election,লীগ,23,0.002790923431622376
Before Election,দেশে,22,0.002669578934595316
Before Election,রং,21,0.0025482344375682563
Before Election,দিবে,20,0.0024268899405411964
Before Election,এবার,20,0.0024268899405411964
Before Election,নির্বাচন,20,0.0024268899405411964
Before Election,জিতবে,20,0.0024268899405411964
Before Election,চোর,20,0.0024268899405411964
