dataset,term,count,relative_freq
Before Election Some,ভোট,105,0.012741172187841281
Before Election Some,ইনশাআল্লাহ,89,0.010799660235408324
Before Election Some,ধানের,84,0.010192937750273025
Before Election Some,বিএনপি,82,0.009950248756218905
Before Election Some,আব্বাস,64,0.007766047809731828
Before Election Some,মানুষ,51,0.006188569348380051
Before Election Some,শীষ,43,0.0052178133721635725
Before Election Some,ভাই,39,0.004732435384055333
Before Election Some,ঢাকা,39,0.004732435384055333
Before Election Some,আওয়ামী,39,0.004732435384055333
Before Election Some,তারেক,39,0.004732435384055333
Before Election Some,নাই,36,0.004368401892974154
Before Election Some,বাংলাদেশ,35,0.004247057395947094
Before Election Some,জনগণ,35,0.004247057395947094
Before Election Some,বলে,35,0.004247057395947094
Before Election Some,চান্দা,35,0.004247057395947094
Before Election Some,মির্জা,33,0.004004368401892974
Before Election Some,আপনারা,31,0.0037616794078388547
Before Election Some,মনে,30,0.0036403349108117948
Before Election Some,চাঁদাবাজ,29,0.003518990413784735
Before Election Some,দল,29,0.003518990413784735
Before Election Some,নিয়ে,26,0.0031549569227035555
Before Election Some,রহমান,26,0.0031549569227035555
Before Election Some,হাদি,26,0.0031549569227035555
Before Election Some,করতে,25,0.0030336124256764956
Before Election Some,জিন্দাবাদ,25,0.0030336124256764956
Before Election Some,খাম্বা,25,0.0030336124256764956
Before Election Some,কোন,24,0.0029122679286494356
Before Election Some,সবাই,24,0.0029122679286494356
Before Election Some,ভালো,23,0.002790923431622376
Before Election Some,চাই,23,0.002790923431622376
Before Election Some,জয়,23,0.002790923431622376
Before Election Some,লীগ,23,0.002790923431622376
Before Election Some,দেশে,22,0.002669578934595316
Before Election Some,রং,21,0.0025482344375682563
Before Election Some,দিবে,20,0.0024268899405411964
Before Election Some,এবার,20,0.0024268899405411964
Before Election Some,নির্বাচন,20,0.0024268899405411964
Before Election Some,জিতবে,20,0.0024268899405411964
Before Election Some,চোর,20,0.0024268899405411964
