dataset,term,count,relative_freq
Post Election Data Updated With Location 09 March,সমঝোতা,164,0.009344729344729345
Post Election Data Updated With Location 09 March,কোন,97,0.005527065527065527
Post Election Data Updated With Location 09 March,রাষ্ট্রপতি,96,0.00547008547008547
Post Election Data Updated With Location 09 March,নাই,88,0.0050142450142450145
Post Election Data Updated With Location 09 March,ঠিক,88,0.0050142450142450145
Post Election Data Updated With Location 09 March,ভালো,86,0.0049002849002849
Post Election Data Updated With Location 09 March,মনে,86,0.0049002849002849
Post Election Data Updated With Location 09 March,হলো,81,0.004615384615384616
Post Election Data Updated With Location 09 March,ভাই,80,0.004558404558404558
Post Election Data Updated With Location 09 March,চাঁদা,76,0.004330484330484331
Post Election Data Updated With Location 09 March,হোক,74,0.004216524216524216
Post Election Data Updated With Location 09 March,মন্ত্রী,74,0.004216524216524216
Post Election Data Updated With Location 09 March,শেষ,72,0.0041025641025641026
Post Election Data Updated With Location 09 March,করতে,71,0.004045584045584046
Post Election Data Updated With Location 09 March,হয়ে,68,0.003874643874643875
Post Election Data Updated With Location 09 March,কাজ,62,0.003532763532763533
Post Election Data Updated With Location 09 March,বলে,60,0.003418803418803419
Post Election Data Updated With Location 09 March,সে,60,0.003418803418803419
Post Election Data Updated With Location 09 March,দেওয়া,58,0.0033048433048433047
Post Election Data Updated With Location 09 March,নতুন,56,0.003190883190883191
Post Election Data Updated With Location 09 March,যাবে,55,0.0031339031339031338
Post Election Data Updated With Location 09 March,দরকার,55,0.0031339031339031338
Post Election Data Updated With Location 09 March,তাহলে,53,0.00301994301994302
Post Election Data Updated With Location 09 March,লাভ,53,0.00301994301994302
Post Election Data Updated With Location 09 March,তেল,51,0.002905982905982906
Post Election Data Updated With Location 09 March,নেতা,50,0.002849002849002849
Post Election Data Updated With Location 09 March,নোটিশ,50,0.002849002849002849
Post Election Data Updated With Location 09 March,আবার,49,0.002792022792022792
Post Election Data Updated With Location 09 March,পারে,49,0.002792022792022792
Post Election Data Updated With Location 09 March,সমঝোতার,49,0.002792022792022792
Post Election Data Updated With Location 09 March,দেশের,48,0.002735042735042735
Post Election Data Updated With Location 09 March,এত,47,0.002678062678062678
Post Election Data Updated With Location 09 March,মানুষ,46,0.002621082621082621
Post Election Data Updated With Location 09 March,নাকি,46,0.002621082621082621
Post Election Data Updated With Location 09 March,জুলাই,43,0.00245014245014245
Post Election Data Updated With Location 09 March,চাই,41,0.0023361823361823363
Post Election Data Updated With Location 09 March,মুক্তিযোদ্ধা,40,0.002279202279202279
Post Election Data Updated With Location 09 March,দেশ,40,0.002279202279202279
Post Election Data Updated With Location 09 March,খেলা,40,0.002279202279202279
Post Election Data Updated With Location 09 March,করার,39,0.0022222222222222222
