period,location_a,location_b,co_mentions
post_election_upto_forming_government,Chattogram,Dhaka,595
post_election_upto_forming_government,Dhaka,Gazipur,555
post_election_upto_forming_government,Barishal,Dhaka,475
post_election_upto_forming_government,Dhaka,Rangpur,335
post_election_upto_forming_government,Chattogram,Noakhali,330
post_forming_government,Dhaka,Gazipur,310
post_forming_government,Chattogram,Dhaka,310
post_election_upto_forming_government,Dhaka,Khulna,290
post_election_upto_forming_government,Dhaka,Mymensingh,285
post_election_upto_forming_government,Barishal,Bhola,220
post_forming_government,Chattogram,Noakhali,220
post_election_upto_forming_government,Dhaka,Pabna,215
post_forming_government,Barishal,Dhaka,210
post_forming_government,Dhaka,Khulna,205
post_election_upto_forming_government,Cumilla,Dhaka,205
post_election_upto_forming_government,Jessore,Khulna,200
post_forming_government,Dhaka,Mymensingh,185
post_election_upto_forming_government,Dhaka,Kishoreganj,185
post_election_upto_forming_government,Dhaka,Sylhet,175
post_election_upto_forming_government,Chandpur,Chattogram,175
post_election_upto_forming_government,Dhaka,Faridpur,170
post_election_upto_forming_government,Dhaka,Narsingdi,165
post_election_upto_forming_government,Chattogram,Lakshmipur,165
post_forming_government,Dhaka,Rangpur,150
post_election_upto_forming_government,Dhaka,Tangail,150
