period,location_a,location_b,co_mentions
post_election_upto_forming_government,Chattogram,Dhaka,119
post_election_upto_forming_government,Dhaka,Gazipur,111
post_election_upto_forming_government,Barishal,Dhaka,95
post_election_upto_forming_government,Dhaka,Rangpur,67
post_election_upto_forming_government,Chattogram,Noakhali,66
post_election_upto_forming_government,Dhaka,Khulna,58
post_election_upto_forming_government,Dhaka,Mymensingh,57
post_election_upto_forming_government,Barishal,Bhola,44
post_election_upto_forming_government,Dhaka,Pabna,43
post_election_upto_forming_government,Cumilla,Dhaka,41
post_election_upto_forming_government,Jessore,Khulna,40
post_election_upto_forming_government,Dhaka,Kishoreganj,37
post_election_upto_forming_government,Chandpur,Chattogram,35
post_election_upto_forming_government,Dhaka,Sylhet,35
post_election_upto_forming_government,Dhaka,Faridpur,34
post_election_upto_forming_government,Chattogram,Lakshmipur,33
post_election_upto_forming_government,Dhaka,Narsingdi,33
post_election_upto_forming_government,Dhaka,Tangail,30
post_election_upto_forming_government,Brahmanbaria,Chattogram,28
post_election_upto_forming_government,Dhaka,Munshiganj,28
post_election_upto_forming_government,Dhaka,Jamalpur,26
post_election_upto_forming_government,Chandpur,Dhaka,25
post_election_upto_forming_government,Dhaka,Rajshahi,24
post_election_upto_forming_government,Brahmanbaria,Dhaka,23
post_election_upto_forming_government,Dhaka,Kushtia,22
post_election_upto_forming_government,Khulna,Satkhira,22
post_election_upto_forming_government,Bhola,Dhaka,20
post_election_upto_forming_government,Dhaka,Madaripur,20
post_election_upto_forming_government,Dhaka,Narayanganj,20
post_election_upto_forming_government,Dhaka,Noakhali,20
post_election_upto_forming_government,Chattogram,Cumilla,19
post_election_upto_forming_government,Dhaka,Sirajganj,18
post_election_upto_forming_government,Mymensingh,Sherpur,18
post_election_upto_forming_government,Dhaka,Lakshmipur,17
post_election_upto_forming_government,Bogura,Dhaka,16
post_election_upto_forming_government,Chattogram,Cox's Bazar,15
post_election_upto_forming_government,Cox's Bazar,Dhaka,13
post_election_upto_forming_government,Dhaka,Manikganj,13
post_election_upto_forming_government,Khulna,Kushtia,13
post_election_upto_forming_government,Bagerhat,Dhaka,12
post_election_upto_forming_government,Bagerhat,Khulna,12
post_election_upto_forming_government,Dhaka,Feni,11
post_election_upto_forming_government,Dhaka,Gopalganj,11
post_election_upto_forming_government,Khulna,Magura,11
post_election_upto_forming_government,Barishal,Chattogram,10
post_election_upto_forming_government,Dhaka,Dinajpur,10
post_election_upto_forming_government,Dhaka,Jessore,10
post_election_upto_forming_government,Habiganj,Sylhet,10
post_election_upto_forming_government,Dhaka,Rajbari,9
post_election_upto_forming_government,Dhaka,Sherpur,9
post_election_upto_forming_government,Dhaka,নরসিংদী,9
post_election_upto_forming_government,Dhaka,ময়মনসিংহ,9
post_election_upto_forming_government,Chattogram,Sylhet,8
post_election_upto_forming_government,Dhaka,Naogaon,8
post_election_upto_forming_government,Dhaka,Netrokona,8
post_election_upto_forming_government,Dhaka,Patuakhali,8
post_election_upto_forming_government,Dhaka,Shariatpur,8
post_election_upto_forming_government,Sunamganj,Sylhet,8
post_election_upto_forming_government,Barguna,Dhaka,7
post_election_upto_forming_government,Bogura,বগুড়া,7
