period,location,location_mentions,unique_comments,comment_share
post_election_upto_forming_government,Dhaka,2043,1999,0.6150769230769231
post_election_upto_forming_government,Chattogram,539,511,0.15723076923076923
post_election_upto_forming_government,Barishal,221,203,0.062461538461538464
post_election_upto_forming_government,Sylhet,202,171,0.05261538461538461
post_election_upto_forming_government,Khulna,184,180,0.055384615384615386
post_election_upto_forming_government,Cumilla,164,137,0.04215384615384615
post_election_upto_forming_government,Gazipur,136,131,0.04030769230769231
post_election_upto_forming_government,Rangpur,117,114,0.035076923076923075
post_election_upto_forming_government,Rajshahi,94,88,0.02707692307692308
post_election_upto_forming_government,Mymensingh,88,88,0.02707692307692308
post_election_upto_forming_government,Noakhali,74,74,0.02276923076923077
post_election_upto_forming_government,Chandpur,65,65,0.02
post_election_upto_forming_government,Bogura,60,49,0.015076923076923076
post_election_upto_forming_government,Tangail,56,56,0.01723076923076923
post_election_upto_forming_government,Narayanganj,54,54,0.016615384615384615
post_election_upto_forming_government,Pabna,53,53,0.016307692307692308
post_election_upto_forming_government,Cox's Bazar,51,46,0.014153846153846154
post_election_upto_forming_government,Feni,48,45,0.013846153846153847
post_election_upto_forming_government,Bhola,47,47,0.014461538461538461
post_election_upto_forming_government,Jessore,45,45,0.013846153846153847
post_election_upto_forming_government,Brahmanbaria,44,44,0.01353846153846154
post_election_upto_forming_government,Kishoreganj,42,42,0.012923076923076923
post_election_upto_forming_government,Lakshmipur,41,41,0.012615384615384615
post_election_upto_forming_government,Sirajganj,36,36,0.011076923076923076
post_election_upto_forming_government,Narsingdi,35,35,0.010769230769230769
post_election_upto_forming_government,Faridpur,34,34,0.010461538461538461
post_election_upto_forming_government,Jamalpur,34,34,0.010461538461538461
post_election_upto_forming_government,Dinajpur,33,33,0.010153846153846154
post_election_upto_forming_government,Kushtia,32,32,0.009846153846153846
post_election_upto_forming_government,Bagerhat,31,31,0.009538461538461539
post_election_upto_forming_government,Munshiganj,28,28,0.008615384615384615
post_election_upto_forming_government,Panchagarh,25,25,0.007692307692307693
post_election_upto_forming_government,Satkhira,23,23,0.007076923076923077
post_election_upto_forming_government,Sherpur,23,23,0.007076923076923077
post_election_upto_forming_government,Patuakhali,21,21,0.006461538461538461
post_election_upto_forming_government,Madaripur,20,20,0.006153846153846154
post_election_upto_forming_government,Sunamganj,20,20,0.006153846153846154
post_election_upto_forming_government,Naogaon,19,19,0.005846153846153846
post_election_upto_forming_government,Lalmonirhat,18,18,0.005538461538461538
post_election_upto_forming_government,Manikganj,17,17,0.005230769230769231
post_election_upto_forming_government,Natore,17,17,0.005230769230769231
post_election_upto_forming_government,নরসিংদী,17,17,0.005230769230769231
post_election_upto_forming_government,Barguna,14,14,0.0043076923076923075
post_election_upto_forming_government,Habiganj,14,14,0.0043076923076923075
post_election_upto_forming_government,Thakurgaon,14,14,0.0043076923076923075
post_election_upto_forming_government,Gopalganj,13,13,0.004
post_election_upto_forming_government,Magura,13,13,0.004
post_election_upto_forming_government,কিশোরগঞ্জ,12,12,0.0036923076923076922
post_election_upto_forming_government,Kurigram,11,11,0.003384615384615385
post_election_upto_forming_government,Narail,11,10,0.003076923076923077
post_election_upto_forming_government,বগুড়া,11,11,0.003384615384615385
post_election_upto_forming_government,ময়মনসিংহ,11,11,0.003384615384615385
post_election_upto_forming_government,Netrokona,10,10,0.003076923076923077
post_election_upto_forming_government,Nilphamari,10,10,0.003076923076923077
post_election_upto_forming_government,Rajbari,10,10,0.003076923076923077
post_election_upto_forming_government,সুনামগঞ্জ,10,10,0.003076923076923077
post_election_upto_forming_government,Pirojpur,9,9,0.002769230769230769
post_election_upto_forming_government,Shariatpur,9,9,0.002769230769230769
post_election_upto_forming_government,নোয়াখালী,9,9,0.002769230769230769
post_election_upto_forming_government,পাবনা,9,9,0.002769230769230769
post_election_upto_forming_government,Bandarban,8,8,0.0024615384615384616
post_election_upto_forming_government,Jashore,8,8,0.0024615384615384616
post_election_upto_forming_government,Rangamati,8,8,0.0024615384615384616
post_election_upto_forming_government,নওগাঁ,8,8,0.0024615384615384616
post_election_upto_forming_government,Gaibandha,7,7,0.0021538461538461538
post_election_upto_forming_government,চাঁদপুর,7,7,0.0021538461538461538
post_election_upto_forming_government,দিনাজপুর,7,7,0.0021538461538461538
post_election_upto_forming_government,ভোলা,7,7,0.0021538461538461538
post_election_upto_forming_government,Joypurhat,6,6,0.0018461538461538461
post_election_upto_forming_government,জামালপুর,6,6,0.0018461538461538461
post_election_upto_forming_government,ফরিদপুর,6,6,0.0018461538461538461
post_election_upto_forming_government,ব্রাহ্মণবাড়িয়া,6,6,0.0018461538461538461
post_election_upto_forming_government,লক্ষ্মীপুর,6,6,0.0018461538461538461
post_election_upto_forming_government,Chapainawabganj,5,5,0.0015384615384615385
post_election_upto_forming_government,Moulvibazar,5,5,0.0015384615384615385
