location,total_mentions,total_unique_comments
Dhaka,3084,3009
Chattogram,804,753
Barishal,341,312
Khulna,308,299
Sylhet,280,238
Cumilla,243,203
Gazipur,208,202
Rangpur,174,170
Rajshahi,146,135
Mymensingh,143,143
Noakhali,125,125
Bogura,96,81
Chandpur,93,93
Pabna,87,87
Cox's Bazar,87,78
Tangail,85,85
Narayanganj,78,78
Feni,73,69
Kishoreganj,70,70
Bhola,69,69
Jessore,69,69
Sirajganj,64,64
Lakshmipur,63,63
Brahmanbaria,63,63
Kushtia,57,57
Dinajpur,56,56
Jamalpur,54,54
Narsingdi,53,53
Faridpur,53,53
Satkhira,42,42
Bagerhat,41,41
Munshiganj,40,40
Sherpur,36,36
Patuakhali,35,35
নরসিংদী,33,33
Panchagarh,32,32
Natore,31,31
Sunamganj,29,29
Manikganj,28,28
Lalmonirhat,27,27
Naogaon,25,25
Madaripur,24,24
কিশোরগঞ্জ,24,24
Thakurgaon,23,23
Magura,22,22
Habiganj,21,21
Narail,19,17
বগুড়া,19,19
Barguna,19,19
Gopalganj,19,19
পাবনা,17,17
ময়মনসিংহ,16,16
নোয়াখালী,15,15
Nilphamari,14,14
Pirojpur,14,14
Rangamati,14,14
চাঁদপুর,13,13
Shariatpur,13,13
Jashore,12,12
Netrokona,12,12
সুনামগঞ্জ,12,12
ভোলা,12,12
Kurigram,12,12
দিনাজপুর,11,11
যশোর,11,11
ফরিদপুর,11,11
Rajbari,11,11
নওগাঁ,11,11
Bandarban,11,11
Joypurhat,11,11
Gaibandha,10,10
কুষ্টিয়া,10,10
নাটোর,9,9
Jhenaidah,9,9
জামালপুর,9,9
সাতক্ষীরা,8,8
Chapainawabganj,8,8
লক্ষ্মীপুর,7,7
ঝিনাইদহ,7,7
ব্রাহ্মণবাড়িয়া,7,7
বরগুনা,6,6
পঞ্চগড়,6,6
নীলফামারী,6,6
মৌলভীবাজার,6,6
গোপালগঞ্জ,6,6
ঠাকুরগাঁও,6,6
Moulvibazar,6,6
চাঁপাইনবাবগঞ্জ,6,6
বান্দরবান,5,5
বাগেরহাট,5,5
শরীয়তপুর,5,5
Chuadanga,5,5
গাইবান্ধা,5,5
পিরোজপুর,5,5
কুড়িগ্রাম,5,5
ঝালকাঠি,4,4
শেরপুর,4,4
হবিগঞ্জ,4,4
Meherpur,3,3
রাঙ্গামাটি,3,3
সিরাজগঞ্জ,3,3
রাজবাড়ী,3,3
মানিকগঞ্জ,3,3
মেহেরপুর,2,2
পটুয়াখালী,2,2
টাঙ্গাইল,2,2
নারায়ণগঞ্জ,2,2
লালমনিরহাট,2,2
জয়পুরহাট,2,2
নেত্রকোনা,2,2
মাগুরা,2,2
মুন্সিগঞ্জ,1,1
Jhalokati,1,1
চুয়াডাঙ্গা,1,1
MunশIganj,1,1
খাও হালুয়া,1,1
