location,location_mentions_post_election_upto_forming_government,unique_comments_post_election_upto_forming_government,comment_share_post_election_upto_forming_government,location_mentions_post_forming_government,unique_comments_post_forming_government,comment_share_post_forming_government,mention_delta,comment_share_delta,growth_rate
সিরাজগঞ্জ,0.0,0.0,0.0,3.0,3.0,0.0018126888217522659,3.0,0.0018126888217522659,inf
Jhenaidah,3.0,3.0,0.0009230769230769231,6.0,6.0,0.0036253776435045317,3.0,0.0027023007204276086,1.0
যশোর,4.0,4.0,0.0012307692307692308,7.0,7.0,0.004229607250755287,3.0,0.0029988380199860564,0.75
চুয়াডাঙ্গা,0.0,0.0,0.0,1.0,1.0,0.0006042296072507553,1.0,0.0006042296072507553,inf
নাটোর,4.0,4.0,0.0012307692307692308,5.0,5.0,0.0030211480362537764,1.0,0.0017903788054845456,0.25
Jhalokati,0.0,0.0,0.0,1.0,1.0,0.0006042296072507553,1.0,0.0006042296072507553,inf
ঝিনাইদহ,3.0,3.0,0.0009230769230769231,4.0,4.0,0.002416918429003021,1.0,0.001493841505926098,0.3333333333333333
পটুয়াখালী,1.0,1.0,0.0003076923076923077,1.0,1.0,0.0006042296072507553,0.0,0.0002965372995584476,0.0
নারায়ণগঞ্জ,1.0,1.0,0.0003076923076923077,1.0,1.0,0.0006042296072507553,0.0,0.0002965372995584476,0.0
পঞ্চগড়,3.0,3.0,0.0009230769230769231,3.0,3.0,0.0018126888217522659,0.0,0.0008896118986753428,0.0
কিশোরগঞ্জ,12.0,12.0,0.0036923076923076922,12.0,12.0,0.0072507552870090634,0.0,0.0035584475947013712,0.0
ঠাকুরগাঁও,3.0,3.0,0.0009230769230769231,3.0,3.0,0.0018126888217522659,0.0,0.0008896118986753428,0.0
টাঙ্গাইল,1.0,1.0,0.0003076923076923077,1.0,1.0,0.0006042296072507553,0.0,0.0002965372995584476,0.0
মাগুরা,1.0,1.0,0.0003076923076923077,1.0,1.0,0.0006042296072507553,0.0,0.0002965372995584476,0.0
চাঁপাইনবাবগঞ্জ,3.0,3.0,0.0009230769230769231,3.0,3.0,0.0018126888217522659,0.0,0.0008896118986753428,0.0
কুষ্টিয়া,5.0,5.0,0.0015384615384615385,5.0,5.0,0.0030211480362537764,0.0,0.001482686497792238,0.0
শেরপুর,2.0,2.0,0.0006153846153846154,2.0,2.0,0.0012084592145015106,0.0,0.0005930745991168952,0.0
লালমনিরহাট,1.0,1.0,0.0003076923076923077,1.0,1.0,0.0006042296072507553,0.0,0.0002965372995584476,0.0
Joypurhat,6.0,6.0,0.0018461538461538461,5.0,5.0,0.0030211480362537764,-1.0,0.0011749941900999303,-0.16666666666666666
খাও হালুয়া,1.0,1.0,0.0003076923076923077,0.0,0.0,0.0,-1.0,-0.0003076923076923077,-1.0
পাবনা,9.0,9.0,0.002769230769230769,8.0,8.0,0.004833836858006042,-1.0,0.0020646060887752732,-0.1111111111111111
পিরোজপুর,3.0,3.0,0.0009230769230769231,2.0,2.0,0.0012084592145015106,-1.0,0.0002853822914245875,-0.3333333333333333
ফরিদপুর,6.0,6.0,0.0018461538461538461,5.0,5.0,0.0030211480362537764,-1.0,0.0011749941900999303,-0.16666666666666666
নরসিংদী,17.0,17.0,0.005230769230769231,16.0,16.0,0.009667673716012085,-1.0,0.004436904485242854,-0.058823529411764705
গাইবান্ধা,3.0,3.0,0.0009230769230769231,2.0,2.0,0.0012084592145015106,-1.0,0.0002853822914245875,-0.3333333333333333
চাঁদপুর,7.0,7.0,0.0021538461538461538,6.0,6.0,0.0036253776435045317,-1.0,0.001471531489658378,-0.14285714285714285
মুন্সিগঞ্জ,1.0,1.0,0.0003076923076923077,0.0,0.0,0.0,-1.0,-0.0003076923076923077,-1.0
রাজবাড়ী,2.0,2.0,0.0006153846153846154,1.0,1.0,0.0006042296072507553,-1.0,-1.115500813386012e-05,-0.5
Chuadanga,3.0,3.0,0.0009230769230769231,2.0,2.0,0.0012084592145015106,-1.0,0.0002853822914245875,-0.3333333333333333
রাঙ্গামাটি,2.0,2.0,0.0006153846153846154,1.0,1.0,0.0006042296072507553,-1.0,-1.115500813386012e-05,-0.5
বান্দরবান,3.0,3.0,0.0009230769230769231,2.0,2.0,0.0012084592145015106,-1.0,0.0002853822914245875,-0.3333333333333333
