period,location,sentiment,comments,avg_confidence,share
post_election_upto_forming_government,Bagerhat,negative,10,0.5450175571682678,0.3225806451612903
post_election_upto_forming_government,Bagerhat,neutral,3,0.5707988574033761,0.0967741935483871
post_election_upto_forming_government,Bagerhat,positive,3,0.606015139066611,0.0967741935483871
post_election_upto_forming_government,Bagerhat,sarcastic_negative,15,0.412768358729053,0.4838709677419355
post_election_upto_forming_government,Bandarban,negative,5,0.5156780227663089,0.625
post_election_upto_forming_government,Bandarban,positive,1,0.5335624737683746,0.125
post_election_upto_forming_government,Bandarban,sarcastic_negative,2,0.45901641647113245,0.25
post_election_upto_forming_government,Barguna,negative,4,0.43614048134589023,0.2857142857142857
post_election_upto_forming_government,Barguna,neutral,1,0.2893135778802446,0.07142857142857142
post_election_upto_forming_government,Barguna,positive,3,0.46967460039647246,0.21428571428571427
post_election_upto_forming_government,Barguna,sarcastic_negative,6,0.4242361926063754,0.42857142857142855
post_election_upto_forming_government,Barishal,negative,60,0.46398056963132456,0.2955665024630542
post_election_upto_forming_government,Barishal,neutral,16,0.588097037854269,0.07881773399014778
post_election_upto_forming_government,Barishal,positive,26,0.5196580015142582,0.12807881773399016
post_election_upto_forming_government,Barishal,sarcastic_negative,101,0.43278236859127317,0.4975369458128079
post_election_upto_forming_government,Bhola,negative,11,0.44514669626551145,0.23404255319148937
post_election_upto_forming_government,Bhola,neutral,7,0.6141486334225501,0.14893617021276595
post_election_upto_forming_government,Bhola,positive,8,0.5521382954732059,0.1702127659574468
post_election_upto_forming_government,Bhola,sarcastic_negative,21,0.45128473661758467,0.44680851063829785
post_election_upto_forming_government,Bogura,negative,15,0.5128281293249198,0.30612244897959184
post_election_upto_forming_government,Bogura,neutral,5,0.5301391915362809,0.10204081632653061
post_election_upto_forming_government,Bogura,positive,9,0.5816274459585002,0.1836734693877551
post_election_upto_forming_government,Bogura,sarcastic_negative,20,0.4716298633472995,0.40816326530612246
post_election_upto_forming_government,Brahmanbaria,negative,13,0.5266143427254302,0.29545454545454547
post_election_upto_forming_government,Brahmanbaria,neutral,6,0.5256979661297269,0.13636363636363635
post_election_upto_forming_government,Brahmanbaria,positive,11,0.4284403247429635,0.25
post_election_upto_forming_government,Brahmanbaria,sarcastic_negative,14,0.43892460076542383,0.3181818181818182
post_election_upto_forming_government,Chandpur,negative,20,0.47682637772959646,0.3076923076923077
post_election_upto_forming_government,Chandpur,neutral,6,0.4803818458881673,0.09230769230769231
post_election_upto_forming_government,Chandpur,positive,9,0.4491434452996713,0.13846153846153847
post_election_upto_forming_government,Chandpur,sarcastic_negative,30,0.4277125316620287,0.46153846153846156
post_election_upto_forming_government,Chapainawabganj,negative,2,0.41149361180960686,0.4
