group,rank,term,score
After Election,1,র,0.06432407116651698
After Election,2,ল,0.06405622389284091
After Election,3,ন,0.05882890962572719
After Election,4,ক,0.05161335261582565
After Election,5,দ,0.049786186060309864
After Election,6,ত,0.037951656520529176
After Election,7,ব,0.03730536862180026
After Election,8,ম,0.03410340618459751
After Election,9,হ,0.03391268535669001
After Election,10,প,0.030646979369866063
After Election,11,স,0.027587904926116878
After Election,12,য,0.0274457275775569
After Election,13,ল ল,0.02721457282136902
After Election,14,ট,0.027119896875756323
After Election,15,শ,0.025565407786662903
After Election with Location,1,র,0.08142770374466081
After Election with Location,2,ক,0.0682959644449679
After Election with Location,3,য,0.05931051371421874
After Election with Location,4,ত,0.058674045811089134
After Election with Location,5,দ,0.05035569052015779
After Election with Location,6,ম,0.04942467651746251
After Election with Location,7,ন,0.04114220952915508
After Election with Location,8,ল,0.041048390620996605
After Election with Location,9,য দ,0.03950653716659516
After Election with Location,10,ধ,0.038278462565643684
After Election with Location,11,ব,0.03626210535470819
After Election with Location,12,ক ত,0.03507862698787855
After Election with Location,13,স,0.03446995855829337
After Election with Location,14,দ ধ,0.03431855836960783
After Election with Location,15,ত য,0.03361328639242249
After Forming Government,1,র,0.07422889654963159
After Forming Government,2,ন,0.06394609969548556
After Forming Government,3,ব,0.04972440613312568
After Forming Government,4,ক,0.049124755883733114
After Forming Government,5,ল,0.04568721686100082
After Forming Government,6,দ,0.04443636108350282
After Forming Government,7,ত,0.044379197874808304
After Forming Government,8,স,0.04011205226044406
After Forming Government,9,য,0.03927881805313302
After Forming Government,10,ম,0.035411902866683075
After Forming Government,11,জ,0.032422357679976484
After Forming Government,12,ই,0.02794372742772823
After Forming Government,13,প,0.02765576867651005
After Forming Government,14,শ,0.02696064857601338
After Forming Government,15,য়,0.026008897967875567
Before Election some,1,র,0.08112301426509895
Before Election some,2,ন,0.07057884032283983
Before Election some,3,ব,0.06022096481019009
Before Election some,4,দ,0.054890459961400725
Before Election some,5,ল,0.04805462111308199
Before Election some,6,ক,0.047727862940742646
Before Election some,7,ত,0.04136172624019799
Before Election some,8,ম,0.040993790786717825
Before Election some,9,চ,0.037765425577860876
Before Election some,10,হ,0.03266798092414734
Before Election some,11,য,0.03212233927971739
Before Election some,12,জ,0.031962947150005236
Before Election some,13,স,0.030393133933709102
Before Election some,14,শ,0.028397121309414176
Before Election some,15,ভ,0.0268591499960814
